File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
0eeb3db2-cddf-409a-aa1f-c862a6267b89	TCGA-60-2695-01A-21-2193-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-60-2695	TCGA-60-2695-01A	Primary Tumor
aae903b0-e9ee-4c49-a756-1ee1cc7d8289	TCGA-22-5471-01A-21-2194-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-22-5471	TCGA-22-5471-01A	Primary Tumor
1223687c-ec4c-4300-b0d7-e86596f70878	TCGA-43-5668-01A-21-2194-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-43-5668	TCGA-43-5668-01A	Primary Tumor
c29ef94a-b614-4ab7-b678-2ff5e6c8c2ec	TCGA-94-7557-01A-13-2195-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-94-7557	TCGA-94-7557-01A	Primary Tumor
03e0b3f8-83ec-4efe-a62d-4a8210c1ed0b	TCGA-43-A474-01A-21-A45E-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-43-A474	TCGA-43-A474-01A	Primary Tumor
4b3a5118-8ff6-498a-a1e3-afcb51224e4d	TCGA-94-7943-01A-13-2195-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-94-7943	TCGA-94-7943-01A	Primary Tumor
3caa5e05-9262-44aa-a64c-e1c778ed758e	TCGA-60-2697-01A-21-2193-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-60-2697	TCGA-60-2697-01A	Primary Tumor
b57c93a3-1bd3-491f-9332-95d1e663d0e1	TCGA-85-A511-01A-11-A45D-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-85-A511	TCGA-85-A511-01A	Primary Tumor
d62562d7-c0c3-45f9-890c-d3c4b7595ee5	TCGA-43-8115-01A-21-A45D-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-43-8115	TCGA-43-8115-01A	Primary Tumor
73bc1a68-9e91-4354-a30e-078c801a6995	TCGA-22-0940-01A-21-2193-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-22-0940	TCGA-22-0940-01A	Primary Tumor
99667afe-6745-4c37-b808-64b2e40037c1	TCGA-51-6867-01A-13-2194-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-51-6867	TCGA-51-6867-01A	Primary Tumor
f8a00cb4-0cd0-4d81-b6c1-c4ef3daeb908	TCGA-33-AASD-01A-21-A45E-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-33-AASD	TCGA-33-AASD-01A	Primary Tumor
73951cb3-202c-49ac-b7cd-b8270a6b77c1	TCGA-22-4605-01A-11-2193-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-22-4605	TCGA-22-4605-01A	Primary Tumor
15ec9ce6-d04a-40f2-b513-0c21fd21bab5	TCGA-LA-A446-01A-11-A45E-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-LA-A446	TCGA-LA-A446-01A	Primary Tumor
f97ad80c-6997-41d5-bf72-3bc717361baf	TCGA-39-5027-01A-22-2194-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-39-5027	TCGA-39-5027-01A	Primary Tumor
fd646ba1-5b07-4516-bc6b-bc7a90a4585b	TCGA-77-A5FZ-01A-41-A45D-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-77-A5FZ	TCGA-77-A5FZ-01A	Primary Tumor
3f33ebc9-abbb-42ba-84c7-5d9db7b45d3c	TCGA-63-A5MJ-01A-21-A45D-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-63-A5MJ	TCGA-63-A5MJ-01A	Primary Tumor
9e501dbb-4109-4bfc-97bf-83a91bace5b3	TCGA-O2-A52V-01A-21-A45D-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-O2-A52V	TCGA-O2-A52V-01A	Primary Tumor
c47d7216-ea21-4562-a4c4-f762da5df80c	TCGA-79-5596-01A-11-2194-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-79-5596	TCGA-79-5596-01A	Primary Tumor
8d3ca606-09f7-4e9f-97cb-f0fa690c2dbb	TCGA-66-2777-01A-21-2193-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-66-2777	TCGA-66-2777-01A	Primary Tumor
0d4c140b-6454-4b22-ae0e-0d607b83409e	TCGA-18-5592-01A-21-2194-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-18-5592	TCGA-18-5592-01A	Primary Tumor
2770bd64-cd12-4388-b915-4e1736e5af2e	TCGA-63-A5MN-01A-11-A45D-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-63-A5MN	TCGA-63-A5MN-01A	Primary Tumor
bc57aed1-94bf-4618-be1c-1fe50b3ad67e	TCGA-66-2770-01A-21-2193-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-66-2770	TCGA-66-2770-01A	Primary Tumor
a945f8de-be42-4245-8e49-f59d29e85afe	TCGA-58-8388-01A-21-A45D-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-58-8388	TCGA-58-8388-01A	Primary Tumor
373f6de6-7689-45de-a27e-02ab9657af99	TCGA-37-A5EL-01A-21-A45E-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-37-A5EL	TCGA-37-A5EL-01A	Primary Tumor
9f1979ca-4860-49cb-a287-16d2f120f99f	TCGA-66-2768-01A-21-2193-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-LUSC	TCGA-66-2768	TCGA-66-2768-01A	Primary Tumor
